,user_id,user_url,last_edited,item_id,helpful,recommend,review,fecha
41,DJKamBer,http://steamcommunity.com/id/DJKamBer,,218620,2 of 6 people (33%) found this review helpful,True,"Upside to PAYDAY 2:+ Updates are released every few weeks or maximum 1 month (Some are free, which is a good thing)+ Gets you feeling acomplished by getting free items after every mission+ Able to retry missions that are of different difficulties (Adds challenge to your gameplay)+ Side Jobs (Everyday and every week) to complete, which gives you free items that you would like to haveDownside to PAYDAY 2:- Game sustainability is low (It's a repetitive gameplay; you will get bored after playing it too often)- You must pay for DLCs that may be more fun than the free ones- Lots of things to take note and get used to (Perks, modifying weapons/masks/comestics, etc)Overall rating: 8.5/10",2015-07-20
42,DJKamBer,http://steamcommunity.com/id/DJKamBer,,224260,No ratings yet,True,"Awesome game! It's like L4D2 and Killing Floor, but much more realistic! This game REALLY needs hardcore teamwork, to win Objective Mode and Survival Mode, but other than that, it's really fun and ""Horrific!""",2013-11-04
43,DJKamBer,http://steamcommunity.com/id/DJKamBer,,1250,No ratings yet,True,"Compared to Left 4 Dead 2, this game REALLY gives you the creeps and the adrenaline rush to kill the Patrioch. +1 for this gameAlthough it does need some major improvements to how they put in the designs (Not the zombies, the HUDs).Other than that, GREAT game!Thrilling!",2013-07-12
44,DJKamBer,http://steamcommunity.com/id/DJKamBer,,440,No ratings yet,True,You won't regret playing it!,2012-08-19
45,Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,,730,1 of 3 people (33%) found this review helpful,True,Good Game It Was Very Fun!!!!,2015-06-19
46,Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,,440,0 of 2 people (0%) found this review helpful,True,Good game,2014-09-20
47,Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,,49520,0 of 2 people (0%) found this review helpful,True,What a Awsome game!,2014-09-07
48,76561198043472122,http://steamcommunity.com/profiles/76561198043472122,,33440,1 of 3 people (33%) found this review helpful,False,This Game Doesn't Work,2014-12-19
49,MarbleShrine,http://steamcommunity.com/id/MarbleShrine,,220200,28 of 31 people (90%) found this review helpful,True,"I'm going to keep this somewhat short and sweetAt the time of writing, Kerbal space program is in beta and there is talk of how soon it will be until it emerges from beta. But since its release in July 2011, it grown to become an outstanding example of Enthusiasm, Humor, and Profound triamph in a game. No matter whether your accomplishing great feats of exploration and scientific achievement......Or maybe you watched your beloved ship erupt into flames and debris becuase of a fatally unseen flaw. There is always something spectacular to be seen (Like your blown-up ship) or something to have a laugh at (Again like your blown-up ship)My recommendation?Buy this game, do something great, do something ridiculous, mod it, find something else just as great and just as crazy to do. My little tip is that i get emotionally attatched to some of my kerbals (Especially Jebediah). There's so much fun to be had and tenderness to experience. There's no reason not to buy this game and experience it. So do it!!!",2015-02-17
50,PPanther,http://steamcommunity.com/id/PPanther,"Last edited December 28, 2014.",211820,No ratings yet,True,"I've always liked games like Terraria with the 2 dimensional survival and exploration aspect and Starbound does all these well and MORE!Lets start with its soundtrack: To sum it up in one paragraph would do it injustice. This games soundtrack is fully orchestral and imersive. The music just fits perfectly where-ever you are in game. Whether you are spelunking or just flying through the vast expanse of space it fits perfectly and leaves you in awe.Ok onto the graphics: The look and feel of this game bring the vast worlds to life with the many colors and alien dirts, trees and the mixture of monsters. The backgrounds of the planets match up the the foregrounds well and give the 2d aspect that 3d feel.Now the gameplay: Starbound has a nice rich layer of gameplay revolving around survival. In the latest unstable build updates they have introduced a very needed layer of missions and npc quests which fullfil the gaps of just flying from planet to planet and give purpose.Starbounds worlds have a wide variety of random aspects to them.First off the flora: Flora of planets consists of 2-3 main aspects. The Trees, the small bushes and medium bushes. Each planet has a vast difference to the next in their flora with trees coming in 2-3 different types from metallic trees to plain out alien tentacles.Now onto the fauna: Each planet has 3 or more ground based animals which increase in strength further beneath the planets surface. Starbound has a feature where animals are customized via their limbs and body. There are many arms, legs, feet and bodies all just jumbled to together from monster to monster making cute monsters and just plain out terrifying ones. There are also around 2 bird species per planet. Using the same general system.I personally suggest this game because of its deep and fluid experience and its wide modding community.8-9/10 for an early access and its only going to get better!",2014-06-07
51,devvonst,http://steamcommunity.com/id/devvonst,,440,6 of 9 people (67%) found this review helpful,True,Best first person shooter,2014-02-12
52,devvonst,http://steamcommunity.com/id/devvonst,,218740,0 of 1 people (0%) found this review helpful,True,"Well, need a multiplayer option",2014-02-09
53,devvonst,http://steamcommunity.com/id/devvonst,,550,No ratings yet,True,AWESOME,2015-10-31
55,starkillershadow553,http://steamcommunity.com/id/starkillershadow553,,238090,1 of 2 people (50%) found this review helpful,True,"One of the best sequals i have every seen, rebellion dose a great job of refining and improving. the X-ray mechanic is vastly improved.One thing in particular i dont like is the new leveling system and having to unlock weapons, but then again it gives the game massive replayabily through the open-ended levels making you want to go back for more and get those weapons, but personal opinion i like V2's weapon unlock system.great game worth every dollor, 9/10",2015-02-04
57,starkillershadow553,http://steamcommunity.com/id/starkillershadow553,,277430,No ratings yet,True,For $5 this game is worth your time.Pretty easy to pick up and play with simple controls and fun gameplay. dont be worried that the game will be runied by microtranactions cause they dont really change the game at all.Graphics have a really nice feel the them and sound is really good.Hopfully this game will pave the path for future halo games to come to PC.,2014-04-05
58,76561198058373434,http://steamcommunity.com/profiles/76561198058373434,,8870,2 of 2 people (100%) found this review helpful,True,1. Elizabeth2. Elizabeth3. Elizabeth4. Plot5. Elizabeth10/10 wuld play again,2015-01-08
59,76561198048353577,http://steamcommunity.com/profiles/76561198048353577,,368230,3 of 5 people (60%) found this review helpful,True,♥♥♥♥ me where to start..-Made Mad Base-Got Red Moon and butt ♥♥♥♥ed11/10 would be butt ♥♥♥♥ed again..christ.Loving this game so far..,2015-10-26
61,76561198048353577,http://steamcommunity.com/profiles/76561198048353577,,33930,No ratings yet,True,Great game Really fun to play with friends BEAST GAME,2013-03-20
62,76561198066046412,http://steamcommunity.com/profiles/76561198066046412,,359320,4 of 5 people (80%) found this review helpful,False,"♥♥♥♥♥ charged me 80 now its 15 dollars, got boring after about 5 hours.",2015-12-28
63,76561198066046412,http://steamcommunity.com/profiles/76561198066046412,,219640,1 of 5 people (20%) found this review helpful,True,"Chivalry Deadliest Warrior = Best game, needs more players though",2015-05-19
64,tru_mu_,http://steamcommunity.com/id/tru_mu_,,287980,No ratings yet,True,"a fun game that gets ridiculously hard on harder difficulties, suits any music you choose to play or just the in game music.ive played most of my hours in this game when my net drops out (hence the hours) and have been playing since it was in beta. not sold on the daily challenge but the new station is an interesting consept. overall... love the game, 8.5/10, would reccomend to fast thinkers.",2015-12-15
66,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,208090,No ratings yet,True,well dont,2015-08-21
67,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,242700,No ratings yet,True,เพือนๆครับท่าชือเกมนี้้ได้ใครชือจะไม่เสียใจเพราะมีหลายโมดจนจำไม่ได้ไห้คะเเนน100/100จนผมต้องขอบคุนคนที่ทำท่าชื้อไม่ได้อย่าเสียใจเพราะเขามีให้โหลดในโทรคัพด้วย,2014-10-17
68,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,570,No ratings yet,False,"w,",2014-06-27
69,76561198070565427,http://steamcommunity.com/profiles/76561198070565427,,224260,No ratings yet,True,ก็สนุกเเต่เจ่าของเกมครับชวยเอาไอพวกที่ชอบด่าได้ไหม,2014-04-28
70,SavageEeEe,http://steamcommunity.com/id/SavageEeEe,,221100,0 of 8 people (0%) found this review helpful,True,"Great Game, Love it, Best game ever.............Even tho i droped dead on a server with only me on it, when i had an SVD,M4 with 100 rounds each.This game is still great <3 you DayZ",2015-11-12
71,76561198076909484,http://steamcommunity.com/profiles/76561198076909484,,570,No ratings yet,True,GOD  GAME,2014-06-18
72,KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,,331470,27 of 41 people (66%) found this review helpful,True,"Love it. Love it. And since I can read cyrillic script, I can play it in Rusian or English. Love it.",2014-11-20
73,KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,,4000,8 of 10 people (80%) found this review helpful,True,One does not simply not buy Garry's Mod. I recommend you do buy it if you don't have it.,2014-05-29
75,GoAwayZach,http://steamcommunity.com/id/GoAwayZach,,304930,No ratings yet,True,Very very fun. 2.2.5 is nice and fun and the beta for 3.0 is very enjoyable with constant updates and lots of content per update. GG,2014-12-29
76,76561198054540475,http://steamcommunity.com/profiles/76561198054540475,,12210,No ratings yet,True,This game Is great.Its charmingits imersiveits funAnd it works every time for me. I have no idea what others are complaining about.Anyways.In my opinion i like it even slightly better than Gta 5 which i own.it has such a good story and ypu can dictate the story on several occasions like choosing to kill or not kill somebody which affects you later on positively or negativly or choosing weather to accept an offer or not.The combat is imersive. as you harm an enemy their preformance goes down and you cand shoot them a mlion times in the hand to kill them. This is still up for a little improvementsMods can be very fun and after finishing the story i reccomend installing one after finnishing the story.However you should install an ENB asap because it greatly enhances the graphics.,2015-02-13
77,76561198054540475,http://steamcommunity.com/profiles/76561198054540475,,265210,No ratings yet,True,In an alternate universe when Ronald Mcdonald was not sucsessful.19/21,2014-12-26
78,76561198054540475,http://steamcommunity.com/profiles/76561198054540475,,48700,No ratings yet,True,I Have Played 60 hours of this brilliant different type of strategy game and i haven't had enough. The game is still very long so watch out.,2014-02-04
81,76561198061252210,http://steamcommunity.com/profiles/76561198061252210,,730,0 of 1 people (0%) found this review helpful,True,i really do recommend anyone who has played any cs or cod like games to give this game a go. it may not be like cod but it is still as much fun maybe even better #keepitreal,2015-05-21
82,OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,,113200,No ratings yet,True,Any gamer lovers of stragery and other indie games would love this game and Ireconmend it to you,2013-12-06
83,boydeer,http://steamcommunity.com/id/boydeer,,440,4 of 4 people (100%) found this review helpful,True,สนุกมากเลยคับ,2014-05-12
84,boydeer,http://steamcommunity.com/id/boydeer,,383080,4 of 7 people (57%) found this review helpful,False,เกมเเดกเงินดีๆนี้เอง,2015-08-24
85,VVillis,http://steamcommunity.com/id/VVillis,,213670,No ratings yet,True,"My character is a Jew named ♥♥♥♥♥♥♥♥♥ that is wearing a KKK costume.10/10, IGN",2015-01-06
86,76561198083226897,http://steamcommunity.com/profiles/76561198083226897,,105600,No ratings yet,True,"This is a really good game, because you can explore, fight and mine. On this crazy adventure packed game, there's endless possiblilities.",2015-12-22
87,76561198075277292,http://steamcommunity.com/profiles/76561198075277292,Last edited April 4.,730,1 of 1 people (100%) found this review helpful,True,-Sees player-Tries shoot at the head-Fails-Dies-Vote kick player-Rage quitsalloha snackbar,2015-06-23
88,76561198075277292,http://steamcommunity.com/profiles/76561198075277292,Last edited June 23.,570,No ratings yet,True,"1K mmr players be like:Phantom Assasin has disconected.Phantom Assasin has 5 mins left to reconnect.Silencer: Wait please!Pudge: NoPudge: F9 team please2K mmr players be like:It's just they're having a normal game. Yea that's it for 2K mmr lol3K mmr players be like:Techies: Ez script, Ez winAxe: ♥♥♥♥  you noob, you can't take win ♥♥♥♥♥Techies: We're actually winning, don't end this5 mins ago...Axe: EZ COMEBACK NOOB TECHIES LOLOL NOOBIEEETechies has disconnected from the game#fromyoutubevideo4K mmr players be like:Queen of Pain: 2 tangos plsTiny: need 2 tangos anyone?Sniper: yo guys im gonna die instanly can I have MANGOOO5K mmr players be like:(All): GGWP6K mmr players be like:Some random guy: yay me in leaderboard7K mmr players be like:Dota 2 fan player: I'M IN ROAD TO 8K MMR8K mmr players be like:Bloodseeker: Omg it's real miracle pls add me i'm ur fan9K mmr players be like:(Unkown)",2015-09-11
89,76561198028895010,http://steamcommunity.com/profiles/76561198028895010,,231180,No ratings yet,True,"This is Nothing Like PhotoShop or Sai, Becuase it's More. The tools you used Use more real life effects then just a purfect line it's get Messy but it's amazing if you want that True real life look. i only been useing this for 10 hours and Already loveing it even with the Easter egg that show up every once in a while.",2013-04-22
90,76561198028895010,http://steamcommunity.com/profiles/76561198028895010,,620,No ratings yet,True,I just can't stop playing it that good <:,2012-05-27
94,diego9031,http://steamcommunity.com/id/diego9031,,223710,No ratings yet,True,-NO-NO-NO10/10,2015-12-05
95,diego9031,http://steamcommunity.com/id/diego9031,,299360,No ratings yet,True,-Jogabilidade ótima;-Tiro pra c@$#&*#;-Pessoas noobs (é so aprender a jogar)Minha nota10/10,2015-10-04
96,diego9031,http://steamcommunity.com/id/diego9031,"Last edited October 4, 2015.",322330,No ratings yet,True,-Tem o mod do Daniel Orivaldo da Silva;-Mundo aberto;-Tem coisas legais para se fazer;-É multi-player;-Vicia muito fácil;Minha nota10/10,2015-10-03
97,diego9031,http://steamcommunity.com/id/diego9031,,1250,No ratings yet,True,Jogo ♥♥♥♥.,2015-08-13
98,diego9031,http://steamcommunity.com/id/diego9031,,12100,No ratings yet,True,Nao funciona com controle,2015-02-22
99,diego9031,http://steamcommunity.com/id/diego9031,,204360,No ratings yet,True,Thisgame is so cool,2015-01-14
100,diego9031,http://steamcommunity.com/id/diego9031,,440,No ratings yet,True,this game is VERRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY COOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,2013-12-14
101,diego9031,http://steamcommunity.com/id/diego9031,,224260,No ratings yet,True,this game is very cool!,2013-12-01
102,jarrodtrim,http://steamcommunity.com/id/jarrodtrim,,440,No ratings yet,True,Great game. LOVE IT!,2012-02-11
104,76561198067936203,http://steamcommunity.com/profiles/76561198067936203,,440,1 of 1 people (100%) found this review helpful,True,"Really good definately Recommend getting this game, Super Addictive 10/10",2015-03-12
105,76561198079770573,http://steamcommunity.com/profiles/76561198079770573,,1840,3 of 6 people (50%) found this review helpful,True,es muy increible OwO,2015-10-14
106,76561198087586464,http://steamcommunity.com/profiles/76561198087586464,,440,1 of 1 people (100%) found this review helpful,True,best game ive played in my life,2013-10-27
107,Derp-e,http://steamcommunity.com/id/Derp-e,"Last edited November 27, 2015.",440,1 of 1 people (100%) found this review helpful,True,"This game has an excellent style of fighting with high amounts of diferent weapons to use from. With the help of the hl2 engine, the graphics, models of weapons and characters, this deserves one of the best shooters game of all time. As well as this, map-making is avaliable to all people who are willing to do it, same with plugins for custom servers, Source Film Maker and many more things. This is overall a stunning game that I have played for a while and deserves a yes. GG Valve.Some things that may put it down, however, would be the fact that some recent updates are very similar in terms of style. For example, the Gun Mettle update brought in contracts, new maps, etc. The halloween update brought in the same thing, but just different missions.People who play other shooter games, that are like COD, Battlefield, etc. One thing i would have to say to those people would be, don't shout at the medic to run to you and specifically YOU because apparantely YOU are the one carrying the team with your gibus and goggles and your natascha, family business and your eviction notice. Pub doesnt work like that, sunshine.As well as this, don't be an ♥♥♥♥♥♥♥ to the new kid or some ♥♥♥♥ just because you got screwed over when you were new. At some point this new kid will have a better inventory, (yes i know just because having an expensive inventory doesnt make you a better player) better items, and a better fighting style. TF2 doesnt need those kinds of ♥♥♥♥♥ on their servers.Either way, although there are some parts of the years to come that will be lazy, there will be better things introduced. Frankly, i want some new weapons, they've been just introducing reskins. Example, Batsaber.Yes.",2015-11-27
108,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,233250,0 of 11 people (0%) found this review helpful,True,на каком компе пойдёт эта игра ана лагает ,2014-10-09
114,76561198070194565,http://steamcommunity.com/profiles/76561198070194565,,248570,No ratings yet,True,ну прикольная игра но 1 минус сложно делать приёмы еслиб можно было создавать приёмы и в инвенте снарядить чтобы просто бить этим приёмом,2015-11-09
115,Rivtex,http://steamcommunity.com/id/Rivtex,,298630,0 of 1 people (0%) found this review helpful,True,Its so bosss,2015-12-23
116,UTNerd24,http://steamcommunity.com/id/UTNerd24,,244210,1 of 1 people (100%) found this review helpful,True,"This game has TRUE potential to be something of legends.Even though this game isint completed yet, It's current state has amazing things to offer.It wont be too long before we go from Drag racing BMW's to Racing a Bugatti Veyron SS around the Nurburgring...But well have to wait and see.Highly reccomend this game! Give it a go!",2014-05-06
117,UTNerd24,http://steamcommunity.com/id/UTNerd24,,440,1 of 2 people (50%) found this review helpful,True,Can't wait for this game to come out of Early Access,2015-12-02
118,UTNerd24,http://steamcommunity.com/id/UTNerd24,,376920,13 of 27 people (48%) found this review helpful,True,"Remember those Flash Games you would play at school when the Teacher wasen't Looking? This is pretty much like that. And as you'd expect, its just as good. Simple, Addictive and plenty of fun. My only real complaint would be that there isint a leaderboard. But not a big deal.7.5/10Nothing amazing, just straightforward and addictive, like most games should be.",2015-06-06
119,UTNerd24,http://steamcommunity.com/id/UTNerd24,,257750,No ratings yet,True,"Because of the ability to kill your friends in multiplayer, I declare this the Mario Party of Platformers.",2015-09-29
120,UTNerd24,http://steamcommunity.com/id/UTNerd24,,221910,No ratings yet,True,I can only sum this game up in one word:WHAT!?,2014-09-08
121,UTNerd24,http://steamcommunity.com/id/UTNerd24,,2280,No ratings yet,True,"Even Today, DOOM and it's sequals manage to be some of the greatest FPS in history. It revolitionized the Industry and if it werent for DOOM, Shooters would be nothing like they are today.Happy 20th Birthday!",2013-12-15
122,sandwiches1,http://steamcommunity.com/id/sandwiches1,,417860,No ratings yet,False,Emily is a thot,2015-11-23
123,76561198138053270,http://steamcommunity.com/profiles/76561198138053270,,218620,No ratings yet,True,great game,2014-06-01
124,lucaswerg,http://steamcommunity.com/id/lucaswerg,,218620,2 of 3 people (67%) found this review helpful,True,"best game I've played in a long time i reccomend this game to any one, its worth the $ 30",2014-07-11
125,lucaswerg,http://steamcommunity.com/id/lucaswerg,,222880,1 of 2 people (50%) found this review helpful,True,bum,2014-11-14
126,Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,,377160,1 of 5 people (20%) found this review helpful,True,The best game money can Buy 10/10,2015-11-13
